,feature/ exemplar ENGLISH,,anvil,chisel,axe,drill,crowbar,adjustable spanner,lawn mower,hammer,clamp,pickaxe,crowbar,wheelbarrow,knife,wrench,oil can,filling knife,plough,plane,shovel,screwdriver,grinding disc,nail,wire brush,vacuum cleaner,tongs,rope,paint brush,file,level,saw
dient om in de tuin te werken,used to work in the garden,4,0,0,2,0,0,0,4,0,0,0,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3
dient om je nagels glad te maken,to polish nails,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
dient om kracht te vergroten,to enlarge ones power,5,0,1,2,0,4,3,0,1,2,1,4,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
dient om mee in steen te werken,to manifacture stones,11,0,3,0,2,1,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1
dient om mee te slaan,is used to beat with,17,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dient om mee te slijpen,is used to grind things,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0
dient om mee te werken,used to work with,9,3,4,4,4,3,4,4,4,3,4,3,4,3,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4
dient om moeren of schroeven vast of los te vijzen,to span nuts,48,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
dient om muren en plafond effen te maken,to level walls and ceilings,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dient om muren te bepleisteren,to plaster walls,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dient om op het strand kastelen te maken,used to make sand castles,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
dient om op te slaan,is used to beat on,10,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
dient om te kijken of iets recht is,used to check whether something has a straight edge,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
dient om te schaven,is used to chafe,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
dient om te smeren,is used to spread (butter bread),21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dient om te snijden,is used to cut,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draait rond,turns around,13,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
een variant is de duimspijker,a kind of thumbtack,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
er komt olie uit,oil comes out of it,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
er zitten schroeven in,it has screws in it,4,0,0,0,4,0,0,3,0,0,0,0,3,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0
eventueel geautomatiseerd,can be automatized,4,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,1,1,0,2,1,0,1,1,0,0,1,0,0,4
forceert sloten,forces locks,5,0,1,0,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
gebruik je om iets los te maken,used to detach something,4,0,2,0,0,3,1,0,1,0,2,3,0,1,2,1,0,1,0,1,3,0,0,0,0,4,0,0,0,0,0
gebruiksvoorwerp,implement/tool,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
gebruikt bij de scouts,used at the scouts,4,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1
gebruikt door klusjesman,used by the handyman,8,0,3,2,4,2,3,2,4,2,1,2,3,3,4,4,4,0,3,2,4,2,4,2,1,4,3,4,3,3,4
gebruikt door mannen,used by men,36,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4
gebruikt in de bouw,used in construction,55,0,3,1,4,3,3,0,3,3,2,3,4,2,4,2,4,0,3,3,4,3,3,1,1,3,3,3,2,4,4
gebruikt om te graven,used to dig,10,0,1,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
gebruikt om te hakken,used to hack,17,0,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gebruikt om te klimmen,used to climb,11,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
gebruikt om te verven/schilderen,used to paint,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0
gebruikt op een werf,used on a yard,4,0,3,0,4,3,4,0,4,3,2,3,4,2,4,2,3,0,3,2,4,2,4,2,1,4,3,2,2,4,4
gebruikt voor het zaaien,used to sow,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
gemaakt uit hout,made of wood,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
gemaakt uit hout en metaal,made of wood and metal,12,0,1,4,0,0,0,0,3,2,3,0,1,1,0,0,4,0,2,4,0,0,0,1,0,0,0,2,1,1,3
gemaakt uit metaal,made of metal,143,2,4,3,4,3,3,4,3,4,3,3,4,4,3,3,4,4,4,4,3,3,3,3,2,3,0,0,3,3,3
gemaakt uit plastic,made of plastic,8,0,0,0,1,0,0,2,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0
gemaakt uit steen,made of stone,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
gemaakt uit vezels,made of fibres,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0
gemakkelijk om behangpapier te verwijderen,facilitates removal of wallpaper,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geribbeld,ribbed,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,0,1,0,0,3,0,3,0,3
getrokken door paard of os,pulled by horse or bullock,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
hangt soms aarde aan,sometimes has soil sticking to it,5,0,1,0,1,0,0,1,0,0,1,1,4,1,0,0,0,3,0,4,0,0,0,0,0,0,1,0,0,0,0
hebben de zeven dwergen bij,is carried by the Seven Dwarfs,5,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
heeft een aan/uit knop,has an on/off switch,5,0,0,0,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,4,0,0,0,0,0,1
heeft een donkere kleur,has a dark color,7,4,3,2,3,4,2,2,3,2,3,4,3,1,1,1,1,4,2,3,1,4,2,2,2,3,1,2,2,2,1
heeft een draad,has a wire,8,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0
heeft een handvat,has a grip,75,0,3,4,4,2,2,4,4,1,4,2,4,4,3,3,4,0,3,4,4,1,0,2,3,4,0,3,3,0,4
heeft een houten steel,has a wooden handle,22,0,0,4,0,0,0,0,3,0,3,0,0,1,0,0,4,0,0,3,1,0,0,2,0,0,0,4,1,0,0
heeft een kop,has a head,8,0,2,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0
heeft een laadruimte,has a loading space,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heeft een lemmet,has a blade,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heeft een luchtbelletje,has a little air bubble,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
heeft een metaalkleur,has a metallic color,9,3,4,4,1,4,4,1,4,3,4,4,4,4,4,2,4,4,3,4,3,3,4,4,1,4,0,1,4,3,4
heeft een metalen blad,has a metal blade,6,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,3,2,0,2,0,1,0,0,0,0,0,0,0,0,4
heeft een metalen kop,has a metal head,7,0,2,3,2,1,1,0,3,0,1,1,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0
heeft een motor,has a motor,10,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1
heeft een platte kop,has a flat head,4,1,2,1,0,3,1,0,1,0,1,2,0,0,0,0,1,0,1,1,3,1,1,0,0,0,0,0,1,0,0
heeft een scherpe kant,has a sharp edge,5,0,2,4,2,1,0,2,0,0,3,1,0,4,0,0,3,3,2,3,1,0,4,1,0,0,0,0,1,0,4
heeft een scherpe punt,has a sharp point,18,0,2,2,2,1,0,1,0,0,4,1,0,4,0,0,1,3,1,1,2,2,4,0,0,0,0,0,0,0,1
heeft een slang,has a hose,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
heeft een steel,has a handle,51,0,1,4,0,3,1,0,3,0,4,3,0,1,2,0,3,0,0,4,3,0,0,1,3,1,0,3,1,0,0
heeft een technische evolutie doorgemaakt,has gone through a technological revolution,7,1,1,1,3,1,1,3,1,1,1,1,2,1,1,2,1,2,1,1,1,3,1,1,3,1,1,1,1,1,2
heeft een tuit,has a nozzle,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heeft een zak,has a bag,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
heeft geen geur,has no smell,10,4,4,4,4,4,4,1,4,4,4,4,4,4,4,0,4,4,4,4,4,2,4,4,2,4,2,0,4,4,4
heeft handvat(en) van hout,has a grip made of wood,43,0,2,3,0,0,0,1,3,0,2,0,1,1,0,0,4,0,1,3,1,0,0,1,0,0,0,4,1,0,2
heeft handvat(en) van plastic,has a grip made of plastic,4,0,0,1,4,0,0,2,1,0,1,0,3,1,0,2,2,0,1,1,4,1,0,0,2,3,0,2,1,0,1
heeft haren,has hairs,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,0,0
heeft messen,has knifes,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
heeft tanden,has teeth,22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
heeft te maken met bomen,has to do with trees,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
heeft te maken met hout,has to do with wood,10,0,2,4,2,0,0,0,1,3,1,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,2,0,4
heeft te maken met muren,has to do with walls,6,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,1,0,1,0,2,0
heeft te maken met nagels,has to do with nails,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0
heeft te maken met vuur,has to do with fire,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heeft verschillende boren,has different bits (drilling),4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heeft verschillende opzetstukken,has different additional parts,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0
heeft wielen,has wheels,34,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
het is een voorwerp,is an object,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
het wordt gebruikt door beeldhouwers,used by sculptors,11,0,4,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,1
is balkvormig,is beam-shaped,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,0
is basisgereedschap,is a basic tool,8,0,1,1,4,1,2,2,4,1,1,1,2,2,4,1,2,0,1,3,4,1,4,1,2,4,2,3,1,1,4
is blauwgrijs,is blue-grey,4,2,2,1,0,2,2,0,2,0,2,2,1,1,1,1,1,2,2,2,1,2,2,3,0,2,0,0,2,1,1
is bolvormig,is spherical,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
is bruin,is brown,23,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0
is driehoekig,is triangular,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
is dun,is thin,4,0,1,1,0,1,1,0,0,1,0,1,0,3,2,0,4,0,0,2,2,0,2,1,0,0,1,1,3,1,4
is duur,is expensive,12,3,0,1,4,1,1,4,0,0,1,1,3,0,0,1,0,4,0,1,0,3,0,0,4,0,0,1,0,1,0
is duurzaam,is durable,14,4,4,4,2,4,4,2,4,3,3,4,3,3,4,1,2,4,3,3,3,1,1,1,2,4,1,0,3,4,2
is een deel van het bestek,is part of the cutlery,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is een deel van het oor,is part of the ear,13,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is een handwerktuig,is a handtool,8,1,4,4,4,4,4,1,4,4,4,4,1,3,4,3,4,0,4,4,4,3,3,2,2,4,2,3,4,4,4
is een hefboom,is a lever,9,0,0,0,0,2,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
is een lange staaf,is a long rod,12,0,2,0,0,3,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0
is een machine,is a machine,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,1
is een meetinstrument,is a measuring instrument,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
is efficient,is efficient,7,2,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
is gebogen,is curved,9,0,0,0,0,0,0,0,0,0,4,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
is geel,is yellow,4,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0
is gemaakt van staal,is made of steel,23,2,3,2,2,2,3,1,3,1,3,3,1,2,1,0,0,3,1,0,1,1,1,4,1,2,0,0,2,0,0
is gereedschap,is a tool,200,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4
is gevaarlijk,is dangerous,46,0,2,4,3,3,1,4,3,0,3,3,0,3,0,0,2,3,1,2,1,3,3,0,0,0,1,0,1,0,4
is gevaarlijk voor de vingers,is dangerous for the fingers,7,0,3,4,3,0,0,3,4,0,1,0,0,4,0,0,0,0,1,0,0,2,1,0,0,0,0,0,2,0,4
is gevaarlijk voor kinderen,is dangerous for children,19,1,2,4,4,3,1,4,3,2,3,3,1,4,1,1,3,3,2,3,2,3,3,1,0,2,1,1,2,0,4
is gevlochten,is braided,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
is goedkoop,is cheap,8,1,3,2,0,2,2,0,3,2,2,2,1,4,4,3,4,0,2,2,4,1,4,3,0,2,4,4,3,2,3
is grijs,is grey,47,4,4,4,0,4,4,0,4,2,4,4,2,4,4,2,4,4,4,4,3,4,4,4,0,4,0,0,4,3,4
is groen,is green,8,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
is groot,is big,23,2,0,1,2,0,0,4,0,0,1,0,4,0,0,0,0,4,0,1,0,1,0,0,2,0,0,0,0,0,1
is handig,comes in very handy,35,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
is handig voor gevangenen,is handy for prisoners,4,0,2,1,1,4,1,0,2,0,0,4,0,2,0,0,0,0,0,0,2,1,1,0,0,1,3,0,2,0,2
is hard,is hard,42,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,2,3,4,0,0,4,4,3
is horizontaal,is horizontal,5,3,0,0,1,0,0,2,0,0,0,0,2,1,0,1,0,2,1,0,1,1,0,0,2,0,0,0,1,3,2
is in de vorm van een kruis of plat,has a cross or flat shape,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
is instelbaar,can be tuned,9,0,0,0,4,0,1,4,0,3,0,0,0,0,2,1,0,1,2,0,1,2,0,0,3,0,0,0,0,0,0
is klein,is small,41,0,3,0,0,1,1,0,2,1,0,0,0,3,2,1,2,0,3,0,3,0,4,2,0,3,2,3,3,0,0
is koud,is cold,14,4,4,3,3,4,4,3,3,3,4,4,3,4,3,2,3,4,3,3,3,3,4,2,2,4,1,1,3,3,3
is lang,is long,21,0,0,1,0,2,0,1,0,0,2,3,1,1,0,2,0,2,0,2,0,0,1,0,1,0,4,0,0,0,2
is lang en smal,is long and narrow,6,0,2,1,0,3,2,0,0,1,1,3,0,2,1,0,0,0,0,2,2,0,2,0,0,1,3,0,3,2,2
is langs twee kanten te gebruiken,can be used on two sides,4,0,0,0,0,4,3,0,1,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,0,2,1,0
is langwerpig,is elongated,36,0,4,3,2,4,4,0,3,0,3,4,0,4,4,2,2,1,1,4,4,1,3,3,0,3,1,2,4,4,4
is licht,is light,12,0,2,1,1,1,1,1,2,2,1,1,1,3,2,3,3,0,2,1,3,1,4,3,1,1,4,3,2,1,2
is makkelijk om mee te werken,is easy to work with,5,2,2,2,2,2,3,3,4,3,1,2,4,4,4,3,2,0,2,4,4,0,4,3,4,4,4,4,3,4,3
is moeilijk om mee te werken,is hard to work with,9,2,1,2,2,0,1,1,0,1,1,0,0,0,1,1,1,3,3,0,0,3,0,1,0,0,0,1,1,2,1
is multifunctioneel,is multifunctional,4,0,2,1,1,2,3,0,1,0,0,2,1,3,1,0,2,0,0,1,2,1,0,0,0,2,4,0,1,0,0
is niet fijn om te gebruiken,not nice to use,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
is nuttig,is useful,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
is nuttig in een bos,is useful in a forest,8,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,4
is om buiten te gebruiken,is to be used outside,7,0,2,3,2,2,2,4,2,1,2,2,4,2,1,1,1,4,0,3,1,1,1,1,0,1,2,1,1,1,2
is plat,is flat,8,1,2,1,0,0,0,0,0,0,0,0,0,4,1,0,4,1,0,2,0,1,0,0,0,0,0,1,1,0,4
is plat vooraan,is flat in the front,5,0,2,2,0,3,0,0,1,0,1,2,0,4,1,0,3,1,0,4,1,0,1,0,0,0,0,0,2,0,3
is plooibaar,is pliable,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,1,0,0,3
is recht,is straight,4,0,4,0,1,1,1,0,1,0,0,1,0,4,0,0,0,0,1,3,4,0,3,1,1,0,0,0,4,4,2
is rechthoekig,is rectangular,4,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,2,4,1
is rond,is round,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
is scherp,is sharp,73,0,3,4,1,2,0,2,0,0,4,1,0,4,0,0,1,4,3,3,1,2,4,1,0,0,0,0,1,0,4
is smal,is narrow,9,0,3,1,0,2,2,0,0,0,1,2,0,4,3,0,3,0,1,1,2,1,3,1,0,0,1,1,3,3,2
is sterk,is strong,32,4,3,4,3,4,3,2,4,3,4,4,4,3,3,2,2,4,3,3,3,4,3,2,2,3,3,0,3,1,2
is uitgevonden in Engeland,is invented in England,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
is van ijzer,is made of iron,74,1,1,3,1,3,2,2,2,1,2,2,3,2,3,2,3,2,2,2,3,2,4,1,2,3,0,0,3,2,3
is vermoeiend om te gebruiken,is tiring to use,6,0,2,4,1,2,1,1,2,0,4,2,2,1,1,0,0,2,3,3,1,0,0,1,1,1,0,0,1,0,4
is vettig,is greasy,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"is voor de fiets, de auto,…","is for a bike, car, etc.",15,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0
is vuil,is dirty,19,0,0,0,1,1,0,3,0,0,0,0,3,1,0,4,2,2,1,1,0,0,1,0,2,0,0,3,0,0,0
is zacht,is soft,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
is zeldzaam,is rare,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is zilverkleurig,is silver-coloured,11,1,4,3,1,2,3,0,3,1,2,2,2,4,4,2,3,2,2,2,2,1,3,3,0,3,0,0,3,1,4
is zwaar,is heavy,105,4,1,2,2,2,1,3,2,1,1,2,3,0,1,1,0,4,1,1,0,2,0,0,1,1,1,0,0,0,0
is zwart,is black,11,2,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
